x,y,r,building,road,none,f1,f2,f3
440.0,1973.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
739.0,1775.0,75.0,0.97,0.03,0.0,0.0,26.074054718017578,81.2817611694336
967.0,617.0,75.0,0.0,0.24,0.76,0.0,58.326942443847656,12.150613784790039
1121.0,1947.0,75.0,0.0,0.84,0.16,0.0,192.2428436279297,137.47360229492188
249.0,1826.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
314.0,1958.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
882.0,1274.0,75.0,0.0,1.0,0.0,0.0,157.3682861328125,104.41924285888672
1258.0,1155.0,75.0,0.0,0.18,0.82,0.0,50.34297180175781,16.84514617919922
1023.0,2041.0,75.0,0.0,0.01,0.99,0.0,9.285088539123535,5.473560333251953
1449.0,386.0,75.0,0.0,0.69,0.31,0.0,140.45216369628906,88.33606719970703
510.0,1935.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
829.0,846.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1437.0,1989.0,75.0,0.11,0.4,0.49,0.0,67.50440216064453,76.60599517822266
1458.0,830.0,75.0,0.0,0.9,0.1,0.0,127.08428192138672,94.54319763183594
923.0,382.0,75.0,0.0,0.94,0.06,0.0,203.39016723632812,143.22068786621094
415.0,1511.0,75.0,0.04,0.01,0.96,0.0,2.6559951305389404,1.3167482614517212
556.0,83.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
549.0,1845.0,75.0,0.0,0.0,1.0,0.0,1.1298034191131592,0.0665697306394577
1703.0,1913.0,75.0,0.0,0.48,0.52,0.0,86.6386947631836,49.85603713989258
323.0,661.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
625.0,1796.0,75.0,0.36,0.01,0.63,0.0,5.466196537017822,8.186253547668457
1615.0,1339.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
797.0,397.0,75.0,0.0,0.04,0.96,0.0,15.567669868469238,1.5265703201293945
490.0,330.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1559.0,1555.0,75.0,0.0,0.0,1.0,0.0,0.8903405070304871,0.12691529095172882
1107.0,669.0,75.0,0.0,0.0,1.0,0.0,1.0625617504119873,0.18555401265621185
490.0,1399.0,75.0,0.94,0.0,0.06,0.0,23.41157341003418,55.40373992919922
877.0,1744.0,75.0,0.01,0.72,0.27,0.0,170.51759338378906,82.70170593261719
151.0,603.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1599.0,1638.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1508.0,945.0,75.0,0.0,0.4,0.6,0.0,62.52546310424805,23.124473571777344
1172.0,927.0,75.0,0.0,0.32,0.68,0.0,56.90560531616211,57.849037170410156
1184.0,1412.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
353.0,540.0,75.0,0.0,0.0,1.0,0.0,0.9095358848571777,0.13839028775691986
1661.0,699.0,75.0,0.0,0.1,0.9,0.0,7.800135135650635,4.386849880218506
881.0,1630.0,75.0,0.0,1.0,0.0,0.0,158.07437133789062,104.79145050048828
1220.0,373.0,75.0,0.0,0.1,0.9,0.0,9.679574012756348,5.462296485900879
1572.0,688.0,75.0,0.0,0.75,0.25,0.0,88.33157348632812,54.43992614746094
1524.0,288.0,75.0,0.0,0.02,0.98,0.0,5.545212745666504,5.5382981300354
1388.0,96.0,75.0,0.0,0.44,0.56,0.0,48.75901412963867,29.029752731323242
